domain,sources,date_snapshotted,available,mbfc_tags,ng_tags,os_tags,pf_tags
austintxnews.com,NYTimesPinkSlime,,,,,,
avoiceformen.com,MBFC,,TRUE,,,,
awarenessact.com,OpenSources;PolitiFact;Allcott18;NewsGuard,,TRUE,,ownership;management;newsOpinion;falseContent;basicStandards;contentCreators;deceptiveHeadlines;accountabilityPractices,conspiracy;junksci,
awdnews.com,OpenSources,,TRUE,,,conspiracy,
azbusinessdaily.com,NYTimesPinkSlime,,,,,,
azcatholictribune.com,NYTimesPinkSlime,,,,,,
babylonbee.com,Allcott18;PolitiFact,,TRUE,,,,
badcriminals.com,Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,FALSE,,,,
baldwinparktoday.com,NYTimesPinkSlime,,,,,,
baldwinpost.com,Buzzfeed16;Allcott18;Grinberg19,,FALSE,,,,
baldwintimes.com,NYTimesPinkSlime,,,,,,
balkanbusinesswire.com,NYTimesPinkSlime,,,,,,
baltimorecitywire.com,NYTimesPinkSlime,,,,,,
baltimoregazette.com,Buzzfeed16;Allcott18;Grinberg19,,FALSE,,,,
bannedinformation.com,FactCheck;MBFC,,FALSE,Extreme Right;Propaganda,,,
baragaguide.com,NYTimesPinkSlime,,,,,,
barenakedislam.com,OpenSources;MBFC;Allcott18,,TRUE,Extreme Right;Hate Group,,hate,
barnesreview.org,OpenSources,,TRUE,,,hate,
batonrougereporter.com,NYTimesPinkSlime,,,,,,
battlecreektimes.com,NYTimesPinkSlime,,,,,,
battypost.com,Buzzfeed17;Allcott18;Grinberg19,,FALSE,,,,
baystatenews.com,NYTimesPinkSlime,,,,,,
bb4sp.com,OpenSources;MBFC;PolitiFact;Allcott18;NewsGuard;Grinberg19,,TRUE,Extreme Right;Propaganda;Fake News,basicStandards;falseContent;deceptiveHeadlines;accountabilityPractices,conspiracy;bias;fake,
bbc-edition.com,NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
beantowntimes.com,NYTimesPinkSlime,,,,,,
beaverconews.com,NYTimesPinkSlime,,,,,,
beaverstatenews.com,NYTimesPinkSlime,,,,,,
beaware.one,MBFC,,FALSE,Extreme Right;Propaganda;Conspiracy;Fake News,,,
bebest.website,Buzzfeed18;NewsGuard,,TRUE,,ownership;management;newsOpinion;falseContent;basicStandards;contentCreators;deceptiveHeadlines;accountabilityPractices,,
beehivestatenews.com,NYTimesPinkSlime,,,,,,
beforeitsnews.com,OpenSources;Wikipedia;MBFC;PolitiFact;Allcott18;NewsGuard;Grinberg19,,TRUE,Conspiracies;Fake News,ownership;management;falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;labelsAdvertising;contentCreators,fake;conspiracy;rumor,
beggsguide.com,NYTimesPinkSlime,,,,,,
belgique.actualites.co,Allcott18;Grinberg19,,FALSE,,,,
benjaminfulford.typepad.com,PolitiFact;Allcott18,,FALSE,,,,
bentleyvilleguide.com,NYTimesPinkSlime,,,,,,
bentontimes.com,NYTimesPinkSlime,,,,,,
berkeleyleader.com,NYTimesPinkSlime,,,,,,
berksconews.com,NYTimesPinkSlime,,,,,,
bestthings.us,PolitiFact;Allcott18,,FALSE,,,,
beyondblindfold.com,NewsGuard,,TRUE,,contentCreators;management;ownership;accountabilityPractices;basicStandards,,
bients.com,OpenSources;Wikipedia;Allcott18;Grinberg19,,TRUE,,,clickbait,
bigamericannews.com,OpenSources,,TRUE,,,satire;fake,
bigbluedimension.com,OpenSources,,FALSE,,,rumor;bias,
bigbluevision.com,OpenSources,,FALSE,,,hate,
bigbluevision.org,OpenSources;MBFC;Allcott18;Grinberg19,,FALSE,Extreme Right;Propaganda,,clickbait;bias,
biggovernment.news,NewsGuard,,TRUE,,ownership;newsOpinion;falseContent;basicStandards;contentCreators;labelsAdvertising;deceptiveHeadlines;accountabilityPractices,,
bighairynews.com,OpenSources,,TRUE,,,fake;conspiracy,
bigislandtimes.com,NYTimesPinkSlime,,,,,,
bigleaguepolitics.com,NewsGuard,,TRUE,,ownership;management;deceptiveHeadlines;newsOpinion;accountabilityPractices;basicStandards;falseContent,,
bignuggetnews.com,OpenSources;Allcott18;Grinberg19,,FALSE,,,bias;rumor,
bigskytimes.com,NYTimesPinkSlime,,,,,,
bipartisanreport.com,OpenSources;MBFC;Allcott18;NewsGuard,,TRUE,Extreme Left;Propaganda,falseContent;basicStandards;newsOpinion;deceptiveHeadlines;accountabilityPractices;ownership,clickbait;bias,
bipartisanreports.com,NewsGuard,,TRUE,,falseContent;basicStandards;newsOpinion;deceptiveHeadlines;accountabilityPractices;ownership,,
bisonguide.com,NYTimesPinkSlime,,,,,,
bixbyguide.com,NYTimesPinkSlime,,,,,,
